state,type,total_n_total,total_n_opposite_sex_only,total_n_same_sex_only,total_n_both_sexes,total_n_same_sex_only_or_both_sexes,total_n_no_sexual_contact,female_n_total,female_n_opposite_sex_only,female_n_same_sex_only,female_n_both_sexes,female_n_same_sex_only_or_both_sexes,female_n_no_sexual_contact,male_n_total,male_n_opposite_sex_only,male_n_same_sex_only,male_n_both_sexes,male_n_same_sex_only_or_both_sexes,male_n_no_sexual_contact
IA,COND,323,297,9,16,25,0,167,149,5,13,18,0,155,148,4,3,7,0
IA,NP,327,296,11,18,29,0,172,152,6,14,20,0,153,144,5,4,9,0
IA,STD,1522,592,42,58,100,704,754,284,20,44,64,354,762,308,22,14,36,350
IA,HIV,1531,593,42,57,99,709,755,284,20,43,63,356,769,309,22,14,36,353
KS,COND,282,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA
KS,NP,275,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA
KS,STD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KS,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KY,COND,463,408,16,39,55,0,261,213,12,36,48,0,202,195,4,3,7,0
KY,NP,456,399,16,39,55,0,259,210,12,36,48,0,196,189,4,3,7,0
KY,STD,1915,860,52,92,144,764,976,417,30,85,115,385,922,443,22,7,29,379
KY,HIV,1933,866,55,92,147,771,986,418,32,86,118,388,930,448,23,6,29,383
LA,COND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA,NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LA,STD,1193,NA,NA,NA,NA,NA,641,NA,NA,NA,NA,NA,541,NA,NA,NA,NA,NA
LA,HIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ME,COND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
